feature,pearson_r,pearson_p,spearman_r,spearman_p,mean,std
feature_078,0.8555004001060157,0.0,0.852962689178101,0.0,64.988108,9.952698373025985
feature_013,-0.15319184837906707,3.483567074305474e-260,-0.22269841210502156,0.0,42.6685566,92.84500143771035
feature_006,-0.14271160106589956,9.910662632407272e-226,-0.13438222411586162,3.724192186636875e-200,3.8409,3.858212086706759
feature_009,0.12255214544908376,1.466093121653193e-166,0.11803858248974886,1.397531217857878e-154,3.80197,0.5014524386130391
feature_092,-0.01674512419997103,0.00018075877532261256,-0.010878346028729429,0.014995684071944251,224.02586920000002,80.78069246723503
feature_014,-0.012142018118189251,0.006626176569737725,-0.012184491590780826,0.006438563891942623,104.324623,49.43196164056716
feature_038,-0.010203213241107678,0.022518274856901006,-0.010869357157187577,0.015079122288956682,12.50637,1.7938808163497555
feature_084,-0.009617233343670137,0.031517683942427474,-0.010889250187158245,0.014895013531001528,0.6705592000000001,0.3161666815506821
feature_094,0.009603798194663258,0.031755851926575464,0.010392894212087382,0.02012943633634814,107.77664859999999,27.4163562504925
feature_054,0.007846652121982038,0.07933667034527982,0.007181275748912334,0.10832607399723294,129.94128,15.095304876887598
feature_103,-0.0069266285621207725,0.12142473467848897,-0.009257677330052578,0.038445585209401174,9.39654,0.5012327334532948
feature_118,-0.006824826077408402,0.12699563914301984,-0.00504661688872748,0.2591354872436971,26.018552000000003,4.965194385560522
feature_056,0.00667878421761548,0.1353322854372193,0.005980755301944335,0.18111948884451207,4.201886,0.5025575532074766
feature_028,-0.006534475323304737,0.143979173161442,-0.0085815744577942,0.05499879566316363,1.002854,0.29785488586669295
feature_010,0.006007476248523849,0.17917774473752204,0.004440857514676593,0.32071677788519054,26.225568799999998,32.95975338778089
feature_082,0.004424842892230586,0.3224650014371899,0.004556881534957008,0.30823643586134564,95.97644,1.9826052408058485
feature_019,-0.004280106858926336,0.33854633652123883,-0.00375008051860743,0.40173564336296047,7.500423999999999,2.5102950129108406
feature_101,-0.004011180954172783,0.3697677373045538,-0.003927826199916553,0.37979717491489445,5.7898124,9.346972041818315
feature_065,-0.003977893554080914,0.3737530529851122,-0.004040743868429226,0.36625056394776906,14.9862,4.984883804195523
feature_062,0.0038692024339922015,0.38695011254312056,0.0037209238031792095,0.40540559432450757,80.01932,10.03247924246021
feature_005,-0.0037450089146599946,0.40237256920980635,-0.0050749751505772545,0.2564683972011105,13.00802,3.0060499673704904
feature_059,-0.003507942366607008,0.43281566729446674,-0.0018713024357775387,0.6756357894990747,4.491785999999999,1.7865913266260327
feature_020,0.0031794187940828384,0.47713153219502985,0.0030643831862485877,0.49321684728155796,1.9173296000000002,1.1345052185889934
feature_003,-0.0029949050117732898,0.5030708077831382,-0.0026470214701571335,0.5539321301500859,1.8044660000000001,0.6015100091684449
feature_099,-0.0029652635020906144,0.5073062445139173,0.002224431605969756,0.6189167292963762,6.0990152,9.346170995461964
feature_122,0.002925202138738334,0.513060182445753,0.0034056510594411204,0.4463525695424316,27.313617200000003,23.96948298045144
feature_070,0.00289882152458138,0.5168676597355333,0.002220553703171041,0.6195282140310509,27.997725,11.709526210332184
feature_090,-0.0028936337349477212,0.5176181247308088,-0.0035547840817073627,0.4266969665041535,1.0559262,0.16590931460160224
feature_055,0.002492591282185321,0.5772901738940984,0.0008264493508737925,0.8533897478823183,3.4944119999999996,2.078344008226822
feature_044,-0.0023025387509903105,0.6066570547477315,-0.001059529617994809,0.8127249296216034,25.7630584,12.18379231758709
feature_117,-0.0013678750288715026,0.7597122696462847,-0.0002886361274705556,0.9485407453968004,139.96988,3.005560422528396
feature_120,0.0009871387797622325,0.8253061929669645,-0.0021799678348755594,0.6259437051086605,249.83634,69.62372659281097
feature_031,0.000745602540126862,0.8675922160557336,0.0012611157565170711,0.7779533879270496,77.99616,11.950948153081209
feature_075,-0.000578090450548523,0.8971505495205143,0.000995747032367029,0.8238076898475333,1.9773555999999999,1.6874987194623894
