feature,rate,mean_pos,mean_neg,diff,p
feature_109,0.09992,0.1401684840578771,-0.015560433436033297,0.1557289174939104,9.295587273107286e-31
feature_039,0.10196,0.13146415412368906,-0.01492593331532349,0.14639008743901255,1.2509700706185016e-28
feature_027,0.59924,0.008787138319247257,-0.013139047725490313,0.021926186044737568,6.103342682655326e-08
feature_043,0.19946,-0.01746208975093051,0.004350798737950419,-0.021812888488880928,1.9138000273328102e-06
feature_079,0.04086,-0.02933011647567407,0.0012494824104450567,-0.030579598886119125,0.002482397437687207
feature_089,0.35254,-0.006717581373927298,0.0036577026187294332,-0.010375283992656732,0.01592522997082387
feature_022,0.04986,-0.01716982901908725,0.0009010121401582071,-0.018070841159245458,0.021683915830360074
feature_106,0.28004,-0.007619749672044143,0.002963823959827588,-0.010583573631871731,0.023605368258231098
feature_042,0.19884,-0.008574660240202243,0.0021281459909631576,-0.010702806231165402,0.031360972411646065
feature_073,0.04768,0.017086142068482257,-0.0008554553657037604,0.017941597434186017,0.08727285592749903
feature_074,0.44906,-0.003952636115886611,0.0032217133883150058,-0.007174349504201616,0.09030259650036775
feature_029,0.07964,0.012879710786699116,-0.0011144988559851463,0.013994209642684262,0.09899861835539134
feature_097,0.22012,-0.005354930992974537,0.001511421513735169,-0.0068663525067097055,0.16386933035329462
feature_108,0.44844,-0.00321005021114035,0.002609897230839813,-0.005819947441980163,0.16834926366713338
feature_060,0.34888,-0.003944876645601135,0.0021137249110387535,-0.006058601556639889,0.16972178103339047
feature_035,0.20076,-0.0057714152988359475,0.0014497138973931902,-0.007221129196229138,0.17050032314511543
feature_095,0.4802,0.0029423814688583705,-0.0027182215878945007,0.005660603056752872,0.17960974875589472
feature_121,0.05072,0.014623045395626892,-0.0007813088472399793,0.015404354242866871,0.18178907549356
feature_040,0.11946,0.0074715351312963805,-0.0010136388884394091,0.00848517401973579,0.19321606144232167
feature_088,0.42294,0.00320244006683957,-0.002347138949001662,0.005549579015841232,0.19626089955452555
feature_081,0.20112,0.0052637820551353475,-0.001325170046778731,0.006588952101914078,0.20827366754497162
feature_024,0.15008,-0.006007515913691376,0.0010608151217585539,-0.00706833103544993,0.21458496481353947
feature_072,0.00976,-0.019924616415982692,0.0001963809340949868,-0.02012099735007768,0.21561942752118005
feature_102,0.35022,-0.0034340498099997784,0.0018508924934844885,-0.005284942303484267,0.22570781579167476
feature_011,0.40152,-0.003073859111546438,0.0020622508862891903,-0.005136109997835628,0.22834716887670267
feature_066,0.30374,-0.003771963717612682,0.0016455006169331927,-0.005417464334545875,0.232242410651113
feature_041,0.03022,-0.012377349174443268,0.00038569932563045666,-0.012763048500073725,0.28681756281817516
feature_110,0.22202,0.004154247172266787,-0.0011855394190447613,0.0053397865913115475,0.30401937726784595
feature_113,0.0204,-0.013657844264830275,0.00028442223658714413,-0.013942266501417418,0.312308076293113
feature_119,0.02886,-0.01097470018227918,0.00032614231441275757,-0.011300842496691938,0.3232864981427718
feature_076,0.20054,0.004176645554604123,-0.001047687813726869,0.005224333368330992,0.32699436623945316
feature_023,0.1189,0.005604125165938411,-0.0007562484193302111,0.0063603735852686225,0.3278861306180408
feature_025,0.12114,0.00535982294855511,-0.0007387854175064713,0.0060986083660615805,0.3462563602355177
feature_058,0.0191,0.01784657340764283,-0.0003475069345781926,0.018194080342221024,0.35527358362324135
feature_052,0.02006,0.015568866764042516,-0.00031870468327495984,0.015887571447317474,0.35845341427559735
feature_091,0.14784,0.004614842043727678,-0.0008006222397043636,0.005415464283432042,0.3741746863626981
feature_104,0.15122,0.0046044961345051766,-0.0008203443831165251,0.005424840517621702,0.37766538566216823
feature_085,0.17992,-0.003597283267876927,0.0007892195950573667,-0.004386502862934294,0.41178589667139937
