feature,mean_resp0,mean_resp1,diff,smd,pval
feature_051,0.8266791808052367,0.6597608618444418,-0.1669183189607949,-0.24711544925142204,1.0761360514835657e-99
feature_011,3.932695593579284,3.3833668758138984,-0.5493287177653858,-0.14213657395487003,2.7650674791860025e-35
feature_099,3.798125285779607,3.8209305078726175,0.022805222093010613,0.045467853544356784,0.0001325682465054299
feature_063,6.1492017423531395,5.780190600213094,-0.36901114214004593,-0.040533537772186434,0.00042181797540081784
feature_092,0.3055947413342004,0.31304949455059594,0.007454753216395549,0.035197664516159306,0.0037592005521928187
feature_033,1.3510937838423218,1.3239019770332663,-0.02719180680905553,-0.024484379938989765,0.038610770093177205
feature_044,28.03875652780786,27.795880194151767,-0.24287633365609196,-0.020742196347204738,0.07901825994215586
feature_031,129.97542897023078,130.28163845152125,0.3062094812904661,0.020356213764769624,0.08867030371832853
feature_070,104.19242413303492,104.97494376701789,0.7825196339829716,0.015830357122512538,0.18387690950490782
feature_010,1.8029480422592832,1.8119332307328044,0.008985188473521255,0.014937806068633895,0.20948742512242366
feature_028,0.6713536928741607,0.6666508819699303,-0.0047028109042304145,-0.014874550213826066,0.21141924821573577
feature_026,1.2571655476138908,1.2413874748431395,-0.015778072770751272,-0.013893187098050184,0.2395162998074509
feature_045,1.1059610617765263,1.1207529300343317,0.01479186825780543,0.01348737582157431,0.2572086532310953
feature_059,7.4948427309700865,7.527879720610867,0.033036989640780945,0.013160628088111758,0.2715705764716944
feature_020,5.76978750030082,5.888320113649816,0.11853261334899567,0.012681405459457257,0.2928388544326058
feature_096,1.986197627126802,1.965624482064638,-0.02057314506216401,-0.011928360242493772,0.3108502340521285
feature_054,1.05668254999639,1.058620812122647,0.0019382621262569177,0.011586426619381631,0.3333174951772406
feature_042,0.935287464202344,0.923404759086066,-0.01188270511627798,-0.011108077097222568,0.34976488820655877
feature_062,25.9859889779318,26.041695276429504,0.0557062984977037,0.01115934672251816,0.35037600731669627
feature_066,3.4984824200418743,3.4768237243991953,-0.02165869564267897,-0.01038685279049259,0.37996696188481827
feature_121,107.82377638197,107.54481472712204,-0.2789616548479614,-0.010174981366098472,0.39213050289333434
feature_048,13.003874569826486,12.974073635610276,-0.029800934216209995,-0.009998384044718487,0.40010813502951265
feature_056,139.97468293504681,139.94625310761216,-0.028429827434649724,-0.009459040630549037,0.4309292734480749
feature_018,1.0640386975669627,1.0548123594175447,-0.009226338149417979,-0.008235786117728247,0.4869871515691689
feature_055,223.6211532260005,224.26401089144073,0.642857665440232,0.007952159276748924,0.5047517092228128
feature_103,4.202493201453565,4.198899017402629,-0.0035941840509368106,-0.007151741892906833,0.5439961295375011
feature_003,4.493966741270185,4.481058363916183,-0.012908377354001743,-0.007225096570583148,0.5460475473617904
feature_019,249.91692537241596,249.43991949804663,-0.4770058743693255,-0.0068511511150087575,0.566120746200909
feature_014,12.508256924891102,12.497087723452113,-0.011169201438988807,-0.0062262330677088475,0.6020457350592788
feature_090,2.2331639111496164,2.215234994672665,-0.017928916476951606,-0.00539736738842223,0.6457542991034194
feature_118,14.981830433422376,15.007695039659051,0.025864606236675414,0.005188564897368253,0.6657902671132521
feature_078,64.9795080980916,65.03041316443706,0.050905066345464434,0.005114658022742134,0.6689384391708386
feature_097,77.95432339421943,77.90446312300224,-0.049860271217184504,-0.004159299553675006,0.7271786155397263
feature_094,9.396190407431472,9.3982597371848,0.002069329753327409,0.004128444693794635,0.7288973085879201
feature_101,26.246793492647942,26.121158991357877,-0.12563450129006526,-0.003811722245708691,0.7442732608751521
feature_023,27.407713522489356,27.3195027820528,-0.08821074043655486,-0.003678250223053422,0.7568519529358224
feature_064,3.2073977811469687,3.21652657748313,0.009128796336161482,0.003403046549090207,0.7766638737802722
feature_077,95.98207108993334,95.98839824789866,0.0063271579653161325,0.0031880263563630476,0.7888182818377961
feature_065,1.002736023873126,1.0034343553924467,0.0006983315193207495,0.0023445136937068106,0.8436819666412602
feature_119,1.908547637956345,1.9067905765360482,-0.001757061420296857,-0.0015688378683668515,0.895931093300622
feature_082,80.00089042909056,79.990055641056,-0.010834788034557619,-0.0010873009767936011,0.9274888031912217
feature_084,25.762800279161556,25.764328163845157,0.0015278846836004334,0.00012540176884847396,0.9916977113723188
