name,coef,OR,se,p
const,-1.4877496364705565,0.22588039703119359,0.027758142203360228,0.0
feature_011_std,-0.15252329915222035,0.858538890495067,0.012644940990892953,1.6765794174737127e-33
feature_099_std,0.046579710504168634,1.0476815869677667,0.01206865762382692,0.00011359127758942385
feature_063_std,-0.04572809937425902,0.9553016740041455,0.01317785702470837,0.0005203208224317339
feature_051_std,-0.2584784781109325,0.7722256506251297,0.01246281808126667,1.5101850164264028e-95
feature_013,-0.30178428012584274,0.7394975720076586,0.02462194509637317,1.5463371156997668e-34
feature_067,-0.25933823325247163,0.7715620109762555,0.029020246712412382,4.0184158376132825e-19
feature_006,0.13033742870260184,1.1392127215482206,0.02623242054565512,6.74509584092681e-07
feature_007,0.08091122757926529,1.084274638609887,0.024165866422948285,0.000813495418597823
feature_039,0.07617792816343101,1.0791545690666589,0.024099047429018066,0.0015720970164893973
feature_076,0.09748101245648759,1.102390509676834,0.04292575518476189,0.02315174161039271
feature_112,-0.1012490875282361,0.9037079024807637,0.04629710064394104,0.02874673682031648
