feature,coef,OR,se,p,lcl,ucl
intercept,-1.4936468816894028,0.22455224500800308,0.04311401747033646,5.4786310204584344e-263,0.2063564313801912,0.24435250406726394
feature_078,0.00335898100982796,1.0033646287082736,0.01205303617041755,0.7804878086563962,0.9799389845841704,1.0273502677006923
feature_011,-0.15257967547552537,0.8584904905933236,0.012648226271230937,1.6498320490977724e-33,0.8374696967127093,0.8800389140432294
feature_063,-0.04602802111156507,0.9550152012282804,0.013196615350773589,0.0004868927035763663,0.9306301076048792,0.9800392520336629
feature_099,0.046501847298201865,1.047600014296369,0.012072714282958155,0.0001172461686995937,1.023102141760648,1.0726844810090348
feature_092,0.03691325040089736,1.0376030052890706,0.012029005436864528,0.0021500185413334378,1.0134257261796862,1.0623570813062428
feature_051,-0.2587446369666445,0.772020143279621,0.01246880758421184,1.1918788737015573e-95,0.7533815297910167,0.7911198749388207
feature_013,-0.3021337416439376,0.7392391912132192,0.02463150896576557,1.3764698821753795e-34,0.7043981707764789,0.7758035220664748
feature_067,-0.2590251121118029,0.7718036411810175,0.029030710101578136,4.560773312981703e-19,0.729113910091222,0.8169928625634768
feature_006,0.130323988158143,1.1391974100118865,0.027291862554207385,1.79532464919481e-06,1.0798605771292196,1.2017947191181653
feature_007,0.08039878716707043,1.0837191548054756,0.024173817545550695,0.0008814547924834664,1.0335692516135455,1.1363023857944876
feature_039,0.07670557081329657,1.079724127291487,0.024108559488744543,0.0014642666383361642,1.029890817520239,1.1319687205896012
feature_076,0.09904005714030141,1.1041105261833355,0.04293954566824236,0.021082716555876284,1.014989784215258,1.2010564766140592
feature_112,-0.10066456611004436,0.9042362935184478,0.04631539471490585,0.02974586207576319,0.8257669073712902,0.9901623172558824
smoke_current,-0.014070099800487101,0.9860284214445244,0.04132785654208579,0.7335171048808106,0.9093068267111252,1.0692233021200581
smoke_former,-0.0010916777145402368,0.9989089179487988,0.036285919190041725,0.9759989155318525,0.9303335703701119,1.0725389883122036
hist_squamous,0.039657679855994145,1.0404545446740325,0.02790565425227429,0.15527774687022305,0.9850750946640079,1.09894734462055
race_asian,0.07546499831962072,1.0783854817535112,0.05072292367929762,0.1368065973258462,0.9763326388976641,1.1911055729630742
race_black,0.08130804723526378,1.0847049854783892,0.03725857851312303,0.029090068839387202,1.0083156176115995,1.1668815646321662
race_hispanic,0.03642742968365883,1.0370990386814538,0.0345896981765699,0.29228166884308393,0.9691185046558568,1.1098481876743675
race_other,0.126194157168102,1.1345024186775519,0.08302411013556706,0.1285185142186966,0.9641261820472496,1.3349868118425787
ins_medicare,-0.026044998858549367,0.9742912466283218,0.026542438108643738,0.3264651735289632,0.9249013668833722,1.0263185537883053
ins_medicaid,-0.08913637481138711,0.9147208201887105,0.03790517123293181,0.01869475452654425,0.8492255092684882,0.9852673639154363
ins_uninsured,-0.007006921409444512,0.993017569828263,0.0630349761191528,0.9114900557867883,0.8776078066536748,1.1236042871445897
