feature,beta_per_sd,p,mean,sd
feature_011,-0.14908894979282955,1.787815420116383e-32,3.8398919999999994,3.87019826731603
feature_099,0.04548082752320464,0.00013981013094281982,3.801978,0.5016308279163074
feature_063,-0.04430987429301671,0.0006882461176529586,6.086860999999999,9.1047219028743
feature_092,0.03512889970188233,0.0031928243285728342,0.30685414734257827,0.2118109227304239
feature_044,-0.0209339976886088,0.08224925641221127,27.997725,11.709409114484599
feature_031,0.02035668684376996,0.08810406382400196,130.02716,15.042691990943643
feature_070,0.015706417696120845,0.1847388201047908,104.324623,49.431467318479136
feature_010,0.014936961966771429,0.2107327913735989,1.8044660000000001,0.6015039940382774
feature_028,-0.014983680583432961,0.21267772865755152,0.6705592000000001,0.31616351986805813
feature_059,0.013159608636102622,0.27017427997752774,7.500423999999999,2.5102699098351953
feature_020,0.01224080056324354,0.2883077278352325,5.7898124,9.346878571630544
feature_096,-0.0120722257221716,0.31760950622171524,1.982722,1.724708538482952
feature_054,0.011571139647245543,0.3316623074591726,1.05701,0.16728552806504213
feature_062,0.011157568587334915,0.3497931902843878,25.9954,4.991839704958484
feature_066,-0.010461340127391744,0.3841595379200906,3.4948233999999996,2.0851773614761027
feature_121,-0.010202031702208849,0.3939276868063618,107.77664859999999,27.416082085559164
feature_048,-0.010000807492628444,0.4021871016901034,12.99884,2.9805366386608974
feature_056,-0.00945927562976129,0.42804948014357247,139.96988,3.0055303667738915
feature_055,0.007928493586518797,0.505232755595653,223.72975760000003,80.83938646183086
feature_003,-0.007226200899453175,0.5449371670726708,4.491785999999999,1.786573460623436
feature_103,-0.007152012202059113,0.5490276397563236,4.201886,0.5025525276068163
feature_019,-0.006851358081369812,0.5659455232981806,249.83634,69.62303035206382
feature_014,-0.006226551585418445,0.6018973870570195,12.50637,1.793862877451897
feature_090,-0.005462765091505219,0.6511138934632477,2.230135,3.3217305850678196
feature_118,0.005188201582366321,0.6637568533014977,14.9862,4.984833955108234
feature_078,0.005115182485021751,0.6682581877026788,64.988108,9.952598845544616
feature_097,-0.0041594856576623205,0.7274692504281686,77.9459,11.987435638617626
feature_094,0.004128468907999297,0.7294112975120586,9.39654,0.5012277211008984
feature_101,-0.0038390424281452267,0.7494475425246792,26.225568799999998,32.95942378859902
feature_023,-0.0036884545524727614,0.7579394565536792,27.3928112,23.981258160762845
feature_077,0.0031884215198046606,0.7893810506671867,95.98314,1.984624836184411
feature_065,0.002344467268626426,0.8442662874243858,1.002854,0.29785190730294137
feature_119,-0.0015704323954879174,0.8954209247097111,1.9082508000000002,1.119954104550432
feature_082,-0.0010873287913626877,0.9274118891144644,79.99906,9.964648469283802
feature_084,0.0001253961724204743,0.9916167592300431,25.7630584,12.183670479054717
