col,m_resp,m_nonresp,diff,p
feature_011,3.3833668758138984,3.932695593579284,-0.5493287177653858,1.3507664514170603e-32
feature_063,5.780190600213094,6.1492017423531395,-0.36901114214004593,1.993176465402275e-06
feature_099,3.8209305078726175,3.798125285779607,0.022805222093010613,3.4707779540155644e-05
feature_092,0.31304949455059594,0.3055947413342004,0.007454753216395549,0.008361937583280594
feature_031,130.28163845152125,129.97542897023078,0.3062094812904661,0.08134660166385785
feature_044,27.795880194151767,28.03875652780786,-0.24287633365609196,0.11523085625216269
feature_070,104.97494376701789,104.19242413303492,0.7825196339829716,0.16582400809924625
feature_028,0.6666508819699303,0.6713536928741607,-0.0047028109042304145,0.1678473042402301
feature_010,1.8119332307328044,1.8029480422592832,0.008985188473521255,0.24778186070572938
feature_059,7.527879720610867,7.4948427309700865,0.033036989640780945,0.25582203297899286
feature_090,2.215234994672665,2.2331639111496164,-0.017928916476951606,0.2881023622280091
feature_056,139.94625310761216,139.97468293504681,-0.028429827434649724,0.29944394537723684
feature_062,26.041695276429504,25.9859889779318,0.0557062984977037,0.29996328749221124
feature_055,224.26401089144073,223.6211532260005,0.642857665440232,0.30556897850378106
feature_103,4.198899017402629,4.202493201453565,-0.0035941840509368106,0.39121570366565483
feature_054,1.058620812122647,1.05668254999639,0.0019382621262569177,0.4001343762190719
feature_121,107.54481472712204,107.82377638197,-0.2789616548479614,0.4232314380447385
feature_003,4.481058363916183,4.493966741270185,-0.012908377354001743,0.43889820463447393
feature_101,26.121158991357877,26.246793492647942,-0.12563450129006526,0.4753747979771744
feature_048,12.974073635610276,13.003874569826486,-0.029800934216209995,0.5010163576496314
feature_066,3.4768237243991953,3.4984824200418743,-0.02165869564267897,0.5232396366079521
feature_020,5.888320113649816,5.76978750030082,0.11853261334899567,0.591033196295258
feature_019,249.43991949804663,249.91692537241596,-0.4770058743693255,0.6556219647636253
feature_014,12.497087723452113,12.508256924891102,-0.011169201438988807,0.6713864585207145
feature_084,25.764328163845157,25.762800279161556,0.0015278846836004334,0.6964956125126816
feature_118,15.007695039659051,14.981830433422376,0.025864606236675414,0.7486354634191799
feature_077,95.98839824789866,95.98207108993334,0.0063271579653161325,0.7518593428995717
feature_097,77.90446312300224,77.95432339421943,-0.049860271217184504,0.7770603273297669
feature_078,65.03041316443706,64.9795080980916,0.050905066345464434,0.8105588224981856
feature_119,1.9067905765360482,1.908547637956345,-0.001757061420296857,0.8203365966067457
feature_096,1.965624482064638,1.986197627126802,-0.02057314506216401,0.8322607671252439
feature_082,79.990055641056,80.00089042909056,-0.010834788034557619,0.8703104887152905
feature_023,27.3195027820528,27.407713522489356,-0.08821074043655486,0.8768880429824925
feature_094,9.3982597371848,9.396190407431472,0.002069329753327409,0.9039859276186586
feature_065,1.0034343553924467,1.002736023873126,0.0006983315193207495,0.9167061835647038
