feature,mean_resp,mean_nonresp,diff,beta_per_sd,OR_per_sd,p
feature_011,3.3833668758138984,3.932695593579284,-0.5493287177653858,-0.14909044070469132,0.8614911975045717,1.787815420116153e-32
feature_099,3.8209305078726175,3.798125285779607,0.022805222093010613,0.045481282338302516,1.0465314158096242,0.00013981013094280172
feature_063,5.780190600213094,6.1492017423531395,-0.36901114214004593,-0.044310317398406254,0.9566570440816473,0.0006882461176529518
feature_092,0.31304949455059594,0.3055947413342004,0.007454753216395549,0.03512925099614873,1.0357535723294278,0.0031928243285728624
feature_044,27.795880194151767,28.03875652780786,-0.24287633365609196,-0.02093420703172591,0.9792833924111551,0.0822492564122102
feature_031,130.28163845152125,129.97542897023078,0.3062094812904661,0.020356890413692073,1.020565505084691,0.08810406382399996
feature_070,104.97494376701789,104.19242413303492,0.7825196339829716,0.015706574762653847,1.015830571344639,0.18473882010479004
feature_010,1.8119332307328044,1.8029480422592832,0.008985188473521255,0.014937111338631973,1.015049227521284,0.21073279137359002
feature_028,0.6666508819699303,0.6713536928741607,-0.0047028109042304145,-0.0149838304224865,0.9851278685757116,0.21267772865754808
feature_059,7.527879720610867,7.4948427309700865,0.033036989640780945,0.01315974023416316,1.0132467106998508,0.27017427997752064
feature_020,5.888320113649816,5.76978750030082,0.11853261334899567,0.01224092297308537,1.0123161497055484,0.28830772783523084
feature_096,1.965624482064638,1.986197627126802,-0.02057314506216401,-0.012072346446239756,0.9880002319706004,0.317609506221712
feature_054,1.058620812122647,1.05668254999639,0.0019382621262569177,0.011571255360377713,1.0116384613045826,0.3316623074591728
feature_062,26.041695276429504,25.9859889779318,0.0557062984977037,0.011157680164694449,1.01122015923563,0.34979319028438793
feature_066,3.4768237243991953,3.4984824200418743,-0.02165869564267897,-0.010461444742362257,0.9895930858487711,0.3841595379200903
feature_121,107.54481472712204,107.82377638197,-0.2789616548479614,-0.010202133724056215,0.9898497315136574,0.39392768680636114
feature_048,12.974073635610276,13.003874569826486,-0.029800934216209995,-0.010000907502204195,0.9900489352771693,0.4021871016900713
feature_056,139.94625310761216,139.97468293504681,-0.028429827434649724,-0.009459370223936479,0.9905852288813143,0.4280494801435738
feature_055,224.26401089144073,223.6211532260005,0.642857665440232,0.007928572872643938,1.0079600872394683,0.505232755595654
feature_003,4.481058363916183,4.493966741270185,-0.012908377354001743,-0.007226273162546221,0.992799773571329,0.5449371670726653
feature_103,4.198899017402629,4.202493201453565,-0.0035941840509368106,-0.007152083723254017,0.9928734315621485,0.5490276397563201
feature_019,249.43991949804663,249.91692537241596,-0.4770058743693255,-0.006851426595978322,0.9931719909155801,0.565945523298182
feature_014,12.497087723452113,12.508256924891102,-0.011169201438988807,-0.00622661385186816,0.9937927313356657,0.6018973870570274
feature_090,2.215234994672665,2.2331639111496164,-0.017928916476951606,-0.0054628197199754905,0.9945520743461296,0.6511138934632519
feature_118,15.007695039659051,14.981830433422376,0.025864606236675414,0.00518825346516053,1.005201735758604,0.6637568533014889
feature_078,65.03041316443706,64.9795080980916,0.050905066345464434,0.0051152336376139125,1.0051283387809593,0.6682581877026774
feature_097,77.90446312300224,77.95432339421943,-0.049860271217184504,-0.004159527253142763,0.9958491115983453,0.7274692504281729
feature_094,9.3982597371848,9.396190407431472,0.002069329753327409,0.004128510193307589,1.0041370442317623,0.7294112975120628
feature_101,26.121158991357877,26.246793492647942,-0.12563450129006526,-0.0038390808191453856,0.996168279030258,0.7494475425246784
feature_023,27.3195027820528,27.407713522489356,-0.08821074043655486,-0.003688491437571606,0.9963183026910422,0.7579394565536766
feature_077,95.98839824789866,95.98207108993334,0.0063271579653161325,0.0031884534044975734,1.0031935419287907,0.7893810506672224
feature_065,1.0034343553924467,1.002736023873126,0.0006983315193207495,0.0023444907136507243,1.0023472411810657,0.8442662874243899
feature_119,1.9067905765360482,1.908547637956345,-0.001757061420296857,-0.0015704481000473741,0.9984307844082889,0.8954209247097156
feature_082,79.990055641056,80.00089042909056,-0.010834788034557619,-0.0010873396648135372,0.9989132512747564,0.9274118891144754
feature_084,25.764328163845157,25.762800279161556,0.0015278846836004334,0.00012539742640099992,1.000125405288987,0.9916167592300437
