feature,diff,mean_resp,mean_nonresp,p
feature_011,-0.5687255803344771,3.3828797917652627,3.9516053720997397,3.371234798509861e-30
feature_006,-2.0757494430745496,58.233199242782774,60.308948685857324,1.6128851291490815e-20
feature_092,-1.327213894001158,19.073852342640798,20.401066236641956,2.3008084385816306e-09
feature_099,0.028894977799755583,3.824538570752485,3.7956435929527292,1.3229750558916569e-06
feature_063,-0.5124958537855226,5.653943445338382,6.166439299123905,3.313791613301626e-05
feature_033,-0.0387003133718018,1.9420373876005677,1.9807377009723695,0.04018079126511796
feature_054,-0.062389851939592234,2.1782915286322764,2.2406813805718686,0.06186007032006321
feature_031,0.003799008881601118,1.0601668244202553,1.0563678155386542,0.0757567854878715
feature_028,-0.2333700377729251,27.80380383341221,28.037173871185136,0.07918316397350263
feature_084,1.1672457172224284,105.29455750118316,104.12731178396074,0.09511082793646161
feature_020,0.011398297846825445,1.813937529578798,1.8025392317319726,0.13343271107878502
feature_044,-0.030860143356047587,12.480726455276859,12.511586598632906,0.14179612717450302
feature_119,-0.004964402470578944,0.6664339801230478,0.6713983825936267,0.15280587599755777
feature_097,0.22246657296827266,130.21202082347372,129.98955425050545,0.1940322179967766
feature_055,-0.9004193736472814,223.07053951727403,223.9709588909213,0.23410015221586078
feature_123,-0.005544489997621582,4.197278750591576,4.202823240589198,0.30144417543440427
feature_082,0.038867799136053094,26.027697586370092,25.98882978723404,0.3230381771241261
feature_094,-0.0328088812460976,139.94261713203974,139.97542601328584,0.33431319504445844
feature_018,0.030652086541429036,3.223970657832466,3.193318571291037,0.37155190257388127
feature_065,0.17366835141181625,25.907369853289165,25.73370150187735,0.3977331957255177
feature_086,-0.020289580275971275,95.96628017037388,95.98656975064985,0.4179610600321866
feature_103,0.047646952662214304,15.025792711784193,14.978145759121979,0.4943346761264634
feature_003,-0.839885464697943,249.1384287742546,249.97831423895255,0.5418305372229086
feature_066,-0.014473926940329118,3.492419545669664,3.506893472609993,0.5444540314982419
feature_048,0.19170285996762004,27.628314008518696,27.436611148551076,0.5455221786565849
feature_056,-0.001903956495548531,1.001271888310459,1.0031758448060075,0.6584405648889737
feature_106,0.018545937618796415,77.96131093232371,77.94276499470492,0.7057376976596368
feature_062,-0.0021365764415466337,1.9064753904401324,1.908611966881679,0.7407625666808708
feature_010,0.01183441696091414,7.510257927117841,7.498423510156927,0.8115127827133077
feature_059,-0.07089200462226586,107.71774017983908,107.78863218446135,0.8145213492658282
feature_090,0.024893305371751495,26.246254141031713,26.22136083565996,0.8157141676701405
feature_120,0.07105740156009777,5.848858258400379,5.777800856840281,0.8305452208695882
feature_078,0.04681288466674971,68.03064363464269,67.98383074997594,0.832509011275236
feature_019,-0.0005917582095396057,9.3960482725982,9.39664003080774,0.9380005169706362
feature_101,0.0036200678329807445,4.494794131566493,4.491174063733513,0.9740979937445964
feature_077,-0.005418430269628516,79.99455750118315,79.99997593145278,0.9785999276130743
feature_037,0.0035027538837617556,13.017510648367251,13.01400789448349,0.9919921632931712
