feature,n_pos,p1,p0,diff,pval
feature_035,3624,0.22130242825607063,0.16495601173020527,0.05634641652586536,3.517791305592361e-18
feature_093,4025,0.1848447204968944,0.1676563349646547,0.017188385532239697,0.005638379954766785
feature_121,4143,0.1564083997103548,0.17018121551780535,-0.013772815807450545,0.024858654018723274
feature_014,20020,0.17347652347652348,0.1660773849232822,0.007399138553241286,0.03148907628125756
feature_012,20997,0.16516645235033575,0.17184429196979623,-0.006677839619460474,0.05066737851505928
feature_111,4983,0.1593417619907686,0.1701135126729902,-0.01077175068222161,0.05675813979774225
feature_030,2512,0.18272292993630573,0.16831620619946092,0.014406723736844818,0.06427585788671461
feature_027,15014,0.17317170640735313,0.1672669067627051,0.0059047996446480455,0.10919351644771652
feature_091,488,0.1413934426229508,0.16931248990143805,-0.027919047278487236,0.11482616732718787
feature_075,17601,0.1726038293278791,0.1671039229605852,0.005499906367293889,0.12001948571117892
feature_016,14941,0.16511612341878054,0.1707122279585841,-0.005596104539803554,0.12970775173148213
feature_021,6060,0.17590759075907592,0.16809285389167045,0.00781473686740547,0.13274745869174762
feature_024,7545,0.16302186878727634,0.1701095277352491,-0.0070876589479727525,0.13439642888044567
feature_034,13980,0.1650214592274678,0.17059966685174902,-0.005578207624281212,0.13877682985578113
feature_053,498,0.14457831325301204,0.16928608945093127,-0.024707776197919223,0.16039464118351254
feature_110,15049,0.1726360555518639,0.1674916311407399,0.0051444244111240045,0.1630689199309271
feature_038,3972,0.16112789526686808,0.16972277743981923,-0.008594882172951152,0.17236371562053943
feature_114,1961,0.17950025497195307,0.16861300193592707,0.010887253036026001,0.21863139402061474
feature_076,4161,0.17519826964671953,0.1684809878051441,0.00671728184157544,0.2777529157049008
feature_080,5967,0.1640690464219876,0.16971362387300434,-0.005644577451016736,0.2831094274429714
feature_083,12476,0.165918563642193,0.1700778168638738,-0.0041592532216807865,0.2891225999333762
feature_098,2397,0.1768877763871506,0.16864483330882507,0.008242943078325543,0.30643225351009956
feature_081,6032,0.17374005305039789,0.16839519650655022,0.00534485654384767,0.30757537738289503
feature_007,22371,0.170890885521434,0.16754135147851895,0.0033495340429150477,0.32626455224926015
feature_015,11073,0.1721304072970288,0.16816091658745858,0.003969490709570228,0.3325375049696313
feature_047,10127,0.17231164214476152,0.16820906377749353,0.004102578367267989,0.3326128846496671
feature_068,7546,0.1729393055923668,0.16834691666274085,0.004592388929625962,0.3349722388962291
feature_109,2815,0.16269982238010658,0.16941824732436156,-0.00671842494425498,0.3691612042175564
feature_002,23681,0.16743380769393185,0.17048520080550172,-0.003051393111569878,0.36969267084626134
feature_074,8587,0.17223710259694888,0.168377079660976,0.0038600229359728733,0.39379263638612694
feature_067,10000,0.1719,0.168325,0.003574999999999995,0.40188709962345504
feature_107,286,0.1888111888111888,0.1689262581968862,0.019884930614302604,0.41473731678589343
feature_060,2535,0.17514792899408285,0.1687137891077636,0.006434139886319246,0.415090529930918
feature_116,978,0.15950920245398773,0.16923014156909144,-0.009720939115103716,0.4472070955426565
feature_004,9048,0.16633510167992926,0.1696376245360422,-0.0033025228561129327,0.45744378599965274
feature_113,5846,0.16558330482381114,0.1694976672555148,-0.00391436243170365,0.46425732986683266
feature_079,1511,0.17604235605559232,0.16882179463383448,0.007220561421757837,0.48228199984288034
feature_105,19901,0.16757951861715492,0.1700056480281737,-0.0024261294110187737,0.486215716896951
feature_069,7490,0.16622162883845126,0.16953657962832275,-0.0033149507898714847,0.4907592891860041
feature_036,4679,0.1654199615302415,0.16941373756095407,-0.003993776030712576,0.5006395655122212
feature_085,27510,0.16801163213376955,0.17029791018230325,-0.0022862780485337075,0.5050378030449794
