pair,coef,p,OR
feature_092:feature_007,0.6137054415335119,7.253318296319902e-08,1.8472636601814287
feature_092:feature_039,0.5948022851403664,1.6891062211694756e-07,1.8126725172357736
feature_092:feature_006,0.5918241084073913,1.6325842553424946e-06,1.8072820889287373
feature_006:feature_092,0.5918241084073913,1.6325842553424946e-06,1.8072820889287373
feature_006:feature_039,0.17487449318714782,0.0008770457885785082,1.1910967164782278
feature_006:feature_007,0.15687276049065307,0.0028583445961284882,1.1698467537037127
feature_092:feature_013,0.24667927252017138,0.033565192043891245,1.2797685899941873
feature_013:feature_092,0.24667927252017138,0.033565192043891245,1.2797685899941873
feature_092:feature_063,0.013961992303900567,0.04143444157109238,1.0140599161249164
feature_013:feature_039,0.0740000574428788,0.1329978260544764,1.0768068673511044
feature_006:feature_112,0.1485284213196098,0.13309277347184828,1.1601257696111589
feature_013:feature_007,0.07275982613697841,0.1408633977833941,1.0754722055795416
feature_006:feature_011,0.00961691427042924,0.17379525886966052,1.009663305384337
feature_013:feature_006,-0.07201152942092698,0.17880990219302284,0.9305201673906687
feature_006:feature_013,-0.07201152942092698,0.17880990219302284,0.9305201673906687
feature_006:feature_033,0.029905485846264724,0.20648854920373583,1.0303571460176193
feature_013:feature_063,0.0037146398586034223,0.2163162361404637,1.0037215476839558
feature_006:feature_063,-0.0039904641172948795,0.2168146904725008,0.9960174872046363
feature_092:feature_067,0.14857205340778995,0.2757626219649316,1.1601763894253547
feature_006:feature_051,0.042388309016877214,0.28779031233809715,1.0432995227165363
feature_006:feature_099,-0.05511462473550788,0.2950650260932428,0.9463766635613537
feature_092:feature_033,-0.047325643046593306,0.35800380665134857,0.9537767562453456
feature_006:feature_076,-0.08346382627978252,0.3727831485178099,0.9199243631558998
smoke x f006: feature_006:C(feature_057)[T.former],-0.042255564172598195,0.45989407696314066,0.9586247591210689
feature_013:feature_011,-0.004715951228449779,0.47925478455825354,0.9952951514095215
feature_013:feature_067,0.04063772499274151,0.49375859925100263,1.0414747369261177
feature_092:feature_011,0.009232874411980816,0.5482423834317804,1.0092756288778366
feature_006:feature_067,0.03616967145241904,0.5655316543612852,1.036831752316733
feature_013:feature_033,0.012742750516957608,0.568355061673583,1.0128242853201372
smoke x f006: feature_006:C(feature_057)[T.never],0.06277740688356802,0.5989385822910956,1.0647897979709324
hist x f006: feature_006:C(feature_043)[T.squamous],-0.025686291232286707,0.6513352557135195,0.9746407950177768
feature_092:feature_099,-0.05097385133769736,0.6523975143982027,0.9503035193733567
feature_092:feature_112,-0.08995439541526032,0.6801534786685184,0.9139728656738146
feature_013:feature_112,0.031262448509110814,0.7428879802870074,1.0317562512462535
feature_013:feature_051,0.010156832241125607,0.786761681724929,1.0102085879379452
feature_092:feature_051,-0.017075183422112155,0.8432881293390921,0.9830697713068342
feature_013:feature_076,0.0027823710800125127,0.9747427513676169,1.00278624546692
feature_013:feature_099,0.000773561342510269,0.9874585726001276,1.00077386061825
feature_092:feature_076,0.0010649825820353862,0.9958074159924339,1.001065549877354
