feature,coef,p_value
feature_027,-0.9100721390727496,0.006196469683524497
feature_076,0.8966043121833571,0.009908759223759778
feature_083,0.5634239700514672,0.013657609741868582
feature_122,0.5827091472349928,0.02451362499778631
feature_105,-0.36301723991460394,0.06884236989605008
feature_080,1.0315476101186325,0.07323501323871373
feature_110,0.29681568119609814,0.13609690267574048
feature_106,0.35310880966527236,0.1392017752936925
feature_079,0.4425540918457805,0.1502287584584754
feature_008,-1.9562851584840393,0.1588852067384341
feature_050,-1.2615610786840137,0.16095460617366286
feature_001,0.39411362961089674,0.17245653921325588
feature_074,0.48355210381921554,0.17693111808806483
feature_035,0.35700158406223853,0.19750436927820703
feature_117,-0.4705733286417012,0.19774689625708752
feature_100,-0.8547554322611627,0.21165618808332187
feature_111,-0.33466216038627045,0.21944594947204044
feature_013,-0.24745871965870522,0.22290502787111344
feature_113,-0.6574147613131525,0.23702628586067642
feature_004,-0.4737112758998907,0.24174821930506085
feature_104,0.2854391532359931,0.25483640962728005
feature_029,-0.23046922379260731,0.2549559645990288
feature_021,-0.2847465082147244,0.26867587573652296
feature_022,0.3255745862508344,0.32974182225611226
feature_017,-0.2785715654237803,0.35924360826190005
feature_012,-0.1758225452281893,0.37783448733455394
feature_081,-0.4365062319480957,0.38944921432269397
feature_091,-0.21379033396387767,0.3918302505217153
feature_047,-0.20268540797456686,0.407029570092433
feature_040,0.21499110017595943,0.4199209541658493
feature_049,-0.36799836450235146,0.42238080453492577
feature_032,-0.1929184096097101,0.42761360599073905
feature_114,0.21304556150287263,0.4341041492741097
feature_087,0.1965604099042895,0.4357798811268775
feature_024,-0.15553418781797096,0.4428747713530473
feature_071,0.2228364295321537,0.4689878235451911
feature_058,0.519048591188618,0.47237491557994105
feature_112,0.25822692277452347,0.47569269304355855
feature_075,0.2024552851468516,0.4783512169801126
feature_069,0.14218416158228286,0.5100016541186649
feature_046,-0.27036266947405446,0.5224610701172767
feature_088,0.12859999665460886,0.5400147327139113
feature_038,-0.12945524318128115,0.5464737728414902
feature_061,-0.2868408669790184,0.5505128394902292
feature_009,-0.313618223693513,0.560365895610687
feature_115,0.11266264490293101,0.5651421567895792
feature_107,-0.1607052199041711,0.5666287365550741
feature_108,0.37714629976592623,0.5929137267899062
feature_002,-0.10879575034133027,0.5964389827323521
feature_102,0.10387881693541712,0.6277107710492067
feature_109,-0.1775663584562833,0.637905073405881
feature_098,0.272968340658429,0.6476802202955207
feature_052,0.6006620201217238,0.6871956771329655
feature_068,0.12469396179547397,0.6962582787721812
feature_073,0.08141874373853239,0.7026872638227379
feature_093,-0.07293868501341214,0.7079007988522809
feature_034,0.12340086321240043,0.713073051547979
feature_089,0.07177780615317714,0.7202088082652791
feature_025,0.07290581284180704,0.729888807969137
feature_067,0.07588676593137665,0.738738809092941
feature_120,-0.13615644595726284,0.7535439972672093
feature_041,0.1557851266030992,0.755798893734904
feature_015,0.047868050345644474,0.8242840641969362
feature_085,-0.06226581013439443,0.8278154666199062
feature_116,-0.18260932402681063,0.8350660917537323
feature_086,0.034294689799105355,0.8606745923928285
feature_016,0.026423359007237388,0.8961807422656988
feature_036,-0.05653539008683156,0.9065457772845797
feature_060,0.09528596446897376,0.913803955153461
feature_053,0.018877583347215936,0.9234518676812943
feature_095,0.016729790387608138,0.9321490663171128
feature_037,-0.010729921665149019,0.9561830244489878
feature_072,-0.033649431121979254,0.9604506548891143
feature_030,0.004860201602895594,0.9836743351499412
