X,beta_T,beta_X,beta_TX,p_TX
feature_031,4.64407633562681,-0.04145795139521555,-4.656053858185083,0.0
feature_028,2.6667686548476732,-0.8137306298722904,-3.0162163173815943,2.93700630450496e-18
feature_005,2.627358798632823,0.06895750590675703,-2.5497403926952287,2.2863216817729355e-10
feature_015,2.5050748844319406,1.6879993953352919,0.21068024259263352,2.6748554267685265e-05
feature_025,2.553648023411138,0.23330121748174198,-0.1703547572685792,0.01186418038270295
feature_033,2.551221711700466,0.005604009436041543,-0.1601868697424807,0.019793690864376583
feature_011,2.630859845555262,-0.7973267645862288,-0.3055143488826789,0.05237014977106738
feature_032,2.551305717203066,-0.03607650995297823,0.12005811082931372,0.08207355870107563
feature_022,2.581284844517183,0.20488134346288173,-0.45820843280787993,0.10320164640182009
smk_former,2.437463979221975,0.5760533731996305,0.22146641875980555,0.10322942854047892
feature_012,2.657679671256403,-0.01988855495844804,-0.21568855917290133,0.11525234662029454
feature_010,2.5547609091091807,-0.020588485271180113,0.10308944261294475,0.1425814348985501
feature_002,2.5872243235885546,0.0763032244327672,-0.2608553053904297,0.19415945911074992
smk_current,2.6234808819645368,-0.6185296476429065,-0.14878586842893138,0.274588429061249
feature_009,2.554211671285662,-0.004016705096425939,-0.06267264355062094,0.36212595701358213
hist_squam,2.615984857685859,-0.8476303533974121,-0.11396376089151547,0.42298234667394036
feature_019,2.5518570630834425,0.041518759922799464,0.05324506334150861,0.4365458205605349
feature_017,2.5536025277103174,-0.2420435832000229,-0.05095680815890938,0.45503934299738813
feature_023,2.608846291334436,-1.3657379704777404,-0.10007469496554462,0.4686620662471592
feature_008,2.552337785129811,0.02010208438535773,-0.04738754431991331,0.4864690952821447
feature_027,2.523119449866434,-0.027596504414153004,0.09928016101445977,0.5084904115073573
feature_013,2.55234892775717,-0.018820108936971662,0.034105817337105285,0.612503909414097
feature_014,2.517602037102279,-1.0769616727867775,0.04784354686064406,0.618596629941881
feature_003,2.5521326132623674,0.0023644386731809146,-0.03315604614091425,0.6284795926967376
feature_004,2.5519196795718115,-0.0328289808852646,0.03201150759851891,0.6407871975259185
feature_021,2.5698511155816743,-0.1587177892535547,-0.06159375422267621,0.6711459993305452
feature_024,2.556600870736226,-0.056782960808096014,-0.018865237927502637,0.776931361237928
feature_007,2.5522517664601616,-0.01887707530102325,0.010156803964568667,0.8828798314114799
feature_029,2.5496659486871924,-0.06263605717943835,-0.0076830634303841384,0.9105632313375297
feature_030,2.552279620351616,-0.009980270535382375,-0.00719983401463116,0.9155631743359717
feature_020,2.5548815997769823,-0.03658654830469978,-0.009369853440374803,0.9499106665060238
feature_026,2.5529969610843675,-0.022312269552505468,0.0017949703902497612,0.9791190623766619
