feature,mean_resp,mean_nonresp,sd,beta,beta_per_sd,OR_per_sd,p_value
feature_051,0.6597608618444418,0.8266791808052367,0.6783433419736645,-0.3749328383602404,-0.2543331945889572,0.7754333887886761,1.7325099096621463e-93
feature_011,3.3833668758138984,3.932695593579284,3.87019826731603,-0.038522302862851056,-0.1490889497928295,0.8614924819129743,1.7878154201157947e-32
feature_099,3.8209305078726175,3.798125285779607,0.5016308279163074,0.09066593397404037,0.045480827523203135,1.0465309398314424,0.00013981013094285316
feature_063,5.780190600213094,6.1492017423531395,9.1047219028743,-0.004866691675561055,-0.04430987429301676,0.9566574679816333,0.0006882461176529518
feature_092,0.31304949455059594,0.3055947413342004,0.2118109227304239,0.165850274617762,0.03512889970188237,1.0357532084752004,0.0031928243285727844
feature_033,1.3239019770332663,1.3510937838423218,1.1106024266135925,-0.02215559913386164,-0.024606062161144745,0.9756941991949495,0.04024084520431761
feature_044,27.795880194151767,28.03875652780786,11.709409114484599,-0.0017877928325788113,-0.020933997688608572,0.9792835974174147,0.08224925641221482
feature_031,130.28163845152125,129.97542897023078,15.042691990943643,0.0013532608961232698,0.02035668684377073,1.0205652973282724,0.08810406382399363
feature_070,104.97494376701789,104.19242413303492,49.431467318479136,0.00031774127996093943,0.015706417696120908,1.0158304117916654,0.18473882010478815
feature_010,1.8119332307328044,1.8029480422592832,0.6015039940382774,0.024832689582807443,0.014936961966771401,1.0150490759015034,0.21073279137359446
feature_028,0.6666508819699303,0.6713536928741607,0.31616351986805813,-0.047392186769954055,-0.014983680583433091,0.9851280161863499,0.21267772865754841
feature_026,1.2413874748431395,1.2571655476138908,1.1356626919996975,-0.01227516280656494,-0.013940444437638103,0.9861562736054663,0.2444126512164444
feature_045,1.1207529300343317,1.1059610617765263,1.096711643231711,0.012251209746055087,0.013436044372172426,1.0135267136400454,0.25846432096228544
feature_059,7.527879720610867,7.4948427309700865,2.5102699098351953,0.00524230824125463,0.013159608636102561,1.0132465773585575,0.2701742799775271
feature_020,5.888320113649816,5.76978750030082,9.346878571630544,0.0013096137356910344,0.012240800563243557,1.012316025788096,0.28830772783523184
feature_096,1.965624482064638,1.986197627126802,1.724708538482952,-0.006999574393474137,-0.012072225722171473,0.988000351246015,0.3176095062217207
feature_054,1.058620812122647,1.05668254999639,0.16728552806504213,0.0691699980332229,0.011571139647245618,1.0116383442447343,0.33166230745914205
feature_062,26.041695276429504,25.9859889779318,4.991839704958484,0.0022351616331453095,0.011157568587334606,1.0112200464063608,0.3497931902844007
feature_042,0.923404759086066,0.935287464202344,1.069723535124847,-0.010425146212848672,-0.011152024261001894,0.9889099290460943,0.352014657453384
feature_066,3.4768237243991953,3.4984824200418743,2.0851773614761027,-0.0050170025440838765,-0.010461340127391711,0.989593189375028,0.3841595379200927
feature_121,107.54481472712204,107.82377638197,27.416082085559164,-0.000372118513154824,-0.010202031702208882,0.9898498324999608,0.3939276868063566
feature_048,12.974073635610276,13.003874569826486,2.9805366386608974,-0.003355371433085406,-0.010000807492627174,0.9900490342915496,0.4021871016901609
feature_056,139.94625310761216,139.97468293504681,3.0055303667738915,-0.0031472899872606293,-0.009459275629755235,0.9905853225849174,0.42804948014432076
feature_018,1.0548123594175447,1.0640386975669627,1.1202572247479594,-0.0073700100315665035,-0.008256306984327312,0.9917776827107389,0.4901676266330083
feature_055,224.26401089144073,223.6211532260005,80.83938646183086,9.807711232769425e-05,0.007928493586518872,1.007960007322222,0.5052327555956477
feature_003,4.481058363916183,4.493966741270185,1.786573460623436,-0.004044726432313402,-0.007226200899453239,0.9927998453141139,0.5449371670726698
feature_103,4.198899017402629,4.202493201453565,0.5025525276068163,-0.014231372461936672,-0.007152012202060316,0.9928735025736439,0.5490276397562655
feature_019,249.43991949804663,249.91692537241596,69.62303035206382,-9.840649059262e-05,-0.006851358081370065,0.9931720589623723,0.5659455232981625
feature_014,12.497087723452113,12.508256924891102,1.793862877451897,-0.003471029844969684,-0.006226551585418729,0.9937927932156124,0.601897387057001
feature_090,2.215234994672665,2.2331639111496164,3.3217305850678196,-0.0016445539310328133,-0.005462765091505209,0.9945521286769895,0.6511138934632483
feature_118,15.007695039659051,14.981830433422376,4.984833955108234,0.0010407972721037518,0.005188201582366807,1.005201683605931,0.6637568533014684
feature_078,65.03041316443706,64.9795080980916,9.952598845544616,0.000513954451938084,0.005115182485021491,1.0051282873660403,0.6682581877026852
feature_097,77.90446312300224,77.95432339421943,11.987435638617626,-0.00034698711075976837,-0.0041594856576626085,0.9958491530211682,0.7274692504281591
feature_094,9.3982597371848,9.396190407431472,0.5012277211008984,0.008236713043196857,0.004128468908003607,1.00413700277566,0.7294112975118431
feature_101,26.121158991357877,26.246793492647942,32.95942378859902,-0.00011647783810690365,-0.0038390424281452653,0.9961683172741552,0.7494475425246765
feature_023,27.3195027820528,27.407713522489356,23.981258160762845,-0.00015380571476887058,-0.00368845455247294,0.9963183394403418,0.7579394565536679
feature_064,3.21652657748313,3.2073977811469687,2.68248468334863,0.0012678249000652394,0.0034009208755930126,1.0034067105685627,0.7755443934634758
feature_077,95.98839824789866,95.98207108993334,1.984624836184411,0.001606561331717089,0.003188421519779237,1.0031935099422478,0.7893810506689598
feature_065,1.0034343553924467,1.002736023873126,0.29785190730294137,0.007871251488215473,0.0023444672686260943,1.0023472176810102,0.8442662874244073
feature_119,1.9067905765360482,1.908547637956345,1.119954104550432,-0.001402229242347785,-0.001570432395488044,0.9984308000882045,0.8954209247097021
feature_082,79.990055641056,80.00089042909056,9.964648469283802,-0.00010911863019703218,-0.001087328791363202,0.9989132621363901,0.9274118891144288
feature_084,25.764328163845157,25.762800279161556,12.183670479054717,1.0292150681206488e-05,0.0001253961724205984,1.0001254040348493,0.9916167592300348
