feat,int_coef,lrt,p
feature_034,-0.21498584095490325,7.030740781374334,0.008012220282522131
feature_120,0.24485941762352603,4.619527056333027,0.03160995264675204
feature_024,0.09997053581451304,3.8102115854562726,0.050941015129631007
feature_009,-0.2626670521904157,3.357121510671277,0.06691493656700886
feature_081,0.22246009276342993,2.946992818695435,0.08603751813461358
feature_117,-0.14138851302225822,2.4763311604765477,0.11557155938660602
feature_079,0.1104661437701232,2.1775744212500285,0.14003500845689887
feature_029,-0.07523096972455659,2.174997920745227,0.140269705617575
feature_039,0.0709155114132896,2.10650636858918,0.14667383948692714
feature_006,-0.07711707531592221,2.105007631907938,0.1468176107141721
feature_106,0.08468760980527498,2.0751674050698057,0.1497135127185798
feature_007,0.06904417051779264,1.985252055543242,0.15883820531645498
feature_061,-0.1563085568227635,1.9383572287188144,0.16384701470041196
feature_046,0.13878398074550788,1.6299320265825372,0.20171245048794195
feature_021,0.07922088259388307,1.5122403368004598,0.218797548880588
feature_022,0.09157391398607682,1.262966340254934,0.26109034884311755
feature_027,0.0766079404922454,1.221922478034685,0.26898369465645877
feature_008,-0.3498875149888564,1.1946092949074227,0.27440177472268
feature_047,-0.0651683952035245,1.1417057342550834,0.28529218563390335
feature_108,-0.18688564189702053,1.1094917235677713,0.2921924632287699
feature_068,-0.08434667724728652,1.065962507709628,0.30185920377719433
feature_058,0.17674100281641464,1.048949480857118,0.30574915494107247
feature_073,-0.0526557382845052,0.9807788152829744,0.32200660483290433
feature_088,0.05133221935396289,0.9320201264927164,0.3343385460707955
feature_091,0.061026508454989616,0.9230711593700107,0.33666987612875987
feature_109,-0.06751547152641756,0.8550538170238724,0.3551265577306608
feature_002,0.04709747237617395,0.8415871925462852,0.3589432272019961
feature_122,-0.05865316797938365,0.8109652292332612,0.3678350341903458
feature_075,-0.060477722620851486,0.7829086571000516,0.37625304266296367
feature_025,-0.04476971980697467,0.7079936974696466,0.4001106613539237
feature_053,0.04094093891426099,0.692693047967623,0.40524988303671405
feature_037,-0.03973883500625448,0.6551255464728456,0.4182861016094467
feature_030,0.04695382898838895,0.6376350986320176,0.4245684617990657
feature_105,-0.03910485272635239,0.6079940799754695,0.4355440756390875
feature_098,0.10774991542670638,0.5719321042925003,0.4494921695043089
feature_095,-0.035427925047992255,0.5210082294579479,0.4704119166327748
feature_114,0.047718294831455364,0.49939243352855556,0.4797672033188246
feature_050,-0.17545468322474778,0.47674200905748876,0.4899017705632863
feature_089,0.03417013257834014,0.47102935381553834,0.49251399845649046
feature_067,0.03933878494748837,0.44535160876694135,0.5045507074313585
feature_012,-0.03220426021317207,0.42221716758649563,0.5158327890045621
feature_085,0.04714540769700906,0.4057503095973516,0.5241343997863674
feature_069,0.03322448577773529,0.3878362086979905,0.5334389806796609
feature_072,0.10142256159428667,0.3139959757681936,0.5752383842999104
feature_035,-0.040246404737956855,0.30352749525627587,0.5816794025420997
feature_060,0.13819719737696573,0.2983587321068626,0.5849131824132534
feature_038,-0.029176534565771073,0.29691997180634644,0.5858197958720115
feature_107,0.036910835476739595,0.28481348989589605,0.5935635013793044
feature_016,0.02712471200177777,0.2813660938045359,0.5958072253369888
feature_093,0.02507447400818464,0.26284173347085016,0.608174533179652
feature_074,-0.043832726050936605,0.2483387493120972,0.6182472517169122
feature_040,-0.033874549770835795,0.24713901683571748,0.6190968271701294
feature_112,0.045257982724263325,0.2294655242440058,0.6319204176689567
feature_086,-0.023433697740116333,0.22783807043742854,0.6331315207916648
feature_115,0.02298239356995692,0.21900070771516766,0.6398023860152443
feature_102,-0.0247073644382755,0.21564427275734488,0.6423789963433806
feature_032,0.02700767698792481,0.19781361115019536,0.6564914541859356
feature_111,0.028112667454096733,0.17215251312154578,0.6782058437311445
feature_052,0.1400746587662205,0.1554174046323169,0.6934111340495459
feature_001,-0.028691068868244008,0.14658779892488383,0.7018177422236166
feature_041,-0.047403576310903674,0.14535322092706338,0.7030161372965816
feature_087,0.02328646456476308,0.14285110550554236,0.7054629193218781
feature_113,-0.04977330485036011,0.11546442638791632,0.7340067197220992
feature_049,0.0321088150690243,0.09412422660534503,0.7589981059981142
feature_071,0.020910496069055432,0.07873526305047562,0.779018715416235
feature_116,-0.06685593878850948,0.06618512157729128,0.796974447279775
feature_080,-0.034301268694174714,0.059951751805783715,0.8065722149851451
feature_110,-0.011895427711601392,0.05721988963341573,0.8109452357977003
feature_036,-0.02394934928521825,0.0442037371249171,0.833475017119078
feature_083,-0.011536464186603083,0.041933765867725015,0.8377460787549602
feature_104,0.0120870315897629,0.036348358109535184,0.8487978917285113
feature_100,0.029850424948647758,0.031100812775548548,0.8600156639048322
feature_015,0.005048129313932304,0.008536941561033018,0.9263837581190848
feature_076,-0.005938996362282571,0.004648119182093069,0.9456446431536951
feature_004,0.0063973534026716145,0.0038915029072086327,0.9502586992751045
feature_017,-0.0005375839317968564,4.9941285396926105e-05,0.9943614646869903
