feature,coef,p,mean_when_resp0,mean_when_resp1,diff_resp1_minus_0,overall_mean,overall_std
feature_011,-0.038522302862851056,1.7878154201157947e-32,3.932695593579284,3.3833668758138984,-0.5493287177653858,3.8398919999999994,3.87019826731603
feature_099,0.09066593397404037,0.00013981013094285316,3.798125285779607,3.8209305078726175,0.022805222093010613,3.801978,0.5016308279163074
feature_063,-0.004866691675561055,0.0006882461176529518,6.1492017423531395,5.780190600213094,-0.36901114214004593,6.086860999999999,9.1047219028743
feature_092,0.165850274617762,0.0031928243285727844,0.3055947413342004,0.31304949455059594,0.007454753216395549,0.30685414734257827,0.2118109227304239
feature_044,-0.0017877928325788113,0.08224925641221482,28.03875652780786,27.795880194151767,-0.24287633365609196,27.997725,11.709409114484599
feature_031,0.0013532608961232698,0.08810406382399363,129.97542897023078,130.28163845152125,0.3062094812904661,130.02716,15.042691990943643
feature_070,0.00031774127996093943,0.18473882010478815,104.19242413303492,104.97494376701789,0.7825196339829716,104.324623,49.431467318479136
feature_010,0.024832689582807443,0.21073279137359446,1.8029480422592832,1.8119332307328044,0.008985188473521255,1.8044660000000001,0.6015039940382774
feature_028,-0.047392186769954055,0.21267772865754841,0.6713536928741607,0.6666508819699303,-0.0047028109042304145,0.6705592000000001,0.31616351986805813
feature_059,0.00524230824125463,0.2701742799775271,7.4948427309700865,7.527879720610867,0.033036989640780945,7.500423999999999,2.5102699098351953
feature_020,0.0013096137356910344,0.28830772783523184,5.76978750030082,5.888320113649816,0.11853261334899567,5.7898124,9.346878571630544
feature_096,-0.006999574393474137,0.3176095062217207,1.986197627126802,1.965624482064638,-0.02057314506216401,1.982722,1.724708538482952
feature_054,0.0691699980332229,0.33166230745914205,1.05668254999639,1.058620812122647,0.0019382621262569177,1.05701,0.16728552806504213
feature_062,0.0022351616331453095,0.3497931902844007,25.9859889779318,26.041695276429504,0.0557062984977037,25.9954,4.991839704958484
feature_066,-0.0050170025440838765,0.3841595379200927,3.4984824200418743,3.4768237243991953,-0.02165869564267897,3.4948233999999996,2.0851773614761027
feature_121,-0.000372118513154824,0.3939276868063566,107.82377638197,107.54481472712204,-0.2789616548479614,107.77664859999999,27.416082085559164
feature_048,-0.003355371433085406,0.4021871016901609,13.003874569826486,12.974073635610276,-0.029800934216209995,12.99884,2.9805366386608974
feature_056,-0.0031472899872606293,0.42804948014432076,139.97468293504681,139.94625310761216,-0.028429827434649724,139.96988,3.0055303667738915
feature_055,9.807711232769425e-05,0.5052327555956477,223.6211532260005,224.26401089144073,0.642857665440232,223.72975760000003,80.83938646183086
feature_003,-0.004044726432313402,0.5449371670726698,4.493966741270185,4.481058363916183,-0.012908377354001743,4.491785999999999,1.786573460623436
feature_103,-0.014231372461936672,0.5490276397562655,4.202493201453565,4.198899017402629,-0.0035941840509368106,4.201886,0.5025525276068163
feature_019,-9.840649059262e-05,0.5659455232981625,249.91692537241596,249.43991949804663,-0.4770058743693255,249.83634,69.62303035206382
feature_014,-0.003471029844969684,0.601897387057001,12.508256924891102,12.497087723452113,-0.011169201438988807,12.50637,1.793862877451897
feature_090,-0.0016445539310328133,0.6511138934632483,2.2331639111496164,2.215234994672665,-0.017928916476951606,2.230135,3.3217305850678196
feature_118,0.0010407972721037518,0.6637568533014684,14.981830433422376,15.007695039659051,0.025864606236675414,14.9862,4.984833955108234
feature_078,0.000513954451938084,0.6682581877026852,64.9795080980916,65.03041316443706,0.050905066345464434,64.988108,9.952598845544616
feature_097,-0.00034698711075976837,0.7274692504281591,77.95432339421943,77.90446312300224,-0.049860271217184504,77.9459,11.987435638617626
feature_094,0.008236713043196857,0.7294112975118431,9.396190407431472,9.3982597371848,0.002069329753327409,9.39654,0.5012277211008984
feature_101,-0.00011647783810690365,0.7494475425246765,26.246793492647942,26.121158991357877,-0.12563450129006526,26.225568799999998,32.95942378859902
feature_023,-0.00015380571476887058,0.7579394565536679,27.407713522489356,27.3195027820528,-0.08821074043655486,27.3928112,23.981258160762845
feature_077,0.001606561331717089,0.7893810506689598,95.98207108993334,95.98839824789866,0.0063271579653161325,95.98314,1.984624836184411
feature_065,0.007871251488215473,0.8442662874244073,1.002736023873126,1.0034343553924467,0.0006983315193207495,1.002854,0.29785190730294137
feature_119,-0.001402229242347785,0.8954209247097021,1.908547637956345,1.9067905765360482,-0.001757061420296857,1.9082508000000002,1.119954104550432
feature_082,-0.00010911863019703218,0.9274118891144288,80.00089042909056,79.990055641056,-0.010834788034557619,79.99906,9.964648469283802
feature_084,1.0292150681206488e-05,0.9916167592300348,25.762800279161556,25.764328163845157,0.0015278846836004334,25.7630584,12.183670479054717
