col,kind,effect,p,summary
feature_051,cont,-0.09220126302766689,7.882064729326045e-95,corr=-0.0922
feature_013,binary,-0.04246494489706232,1.109329360648439e-33,rr1=0.154 rr0=0.196 diff=-0.042
feature_011,cont,-0.0531840644690449,1.177202369257721e-32,corr=-0.0532
feature_067,binary,-0.033869145121987854,1.9915374242765803e-18,rr1=0.144 rr0=0.177 diff=-0.034
feature_006,binary,0.018176025296360504,1.0395027404398896e-06,rr1=0.182 rr0=0.164 diff=0.018
feature_099,cont,0.017034622841658464,0.00013939539123007167,corr=0.0170
feature_007,binary,0.01161996160487469,0.0005904565948079544,rr1=0.175 rr0=0.164 diff=0.012
feature_063,cont,-0.015186413798301573,0.0006840427681663,corr=-0.0152
feature_092,cont,0.013187648213665444,0.003189047895858839,corr=0.0132
feature_039,binary,0.009851879408832448,0.0034149284285682475,rr1=0.174 rr0=0.164 diff=0.010
feature_076,binary,0.014480548889935135,0.01927836481113668,rr1=0.182 rr0=0.168 diff=0.014
feature_112,binary,-0.01350401140316207,0.03288596918188831,rr1=0.156 rr0=0.170 diff=-0.014
feature_033,cont,-0.009174066475875162,0.04023039252283255,corr=-0.0092
feature_123,cat,9.752230089907084,0.04481469374100249,"{'asian': 0.1772406847935549, 'black': 0.1775965379494008, 'hispanic': 0.17153679653679654, 'other': 0.1854043392504931, 'white': 0.16548593860214064}"
feature_021,binary,-0.008578048459052967,0.050551875323761514,rr1=0.162 rr0=0.170 diff=-0.009
feature_053,binary,-0.006208807147287276,0.06715732226589445,rr1=0.166 rr0=0.172 diff=-0.006
feature_043,cat,3.097473414829456,0.07841390423372419,"{'adenocarcinoma': 0.16709604144159118, 'squamous': 0.1737285087403784}"
feature_044,cont,-0.00777199751478385,0.08223649470660394,corr=-0.0078
feature_031,cont,0.007627382137860122,0.08809810742601036,corr=0.0076
feature_074,binary,0.01057834246063244,0.09042000699547424,rr1=0.179 rr0=0.168 diff=0.011
feature_100,binary,0.019385469332172556,0.11574326628411497,rr1=0.188 rr0=0.169 diff=0.019
feature_117,binary,-0.008400223025381542,0.17374300997982106,rr1=0.161 rr0=0.170 diff=-0.008
feature_038,binary,-0.0049612500146419825,0.17923590925972227,rr1=0.165 rr0=0.170 diff=-0.005
feature_032,binary,0.005631890454357469,0.1825817697633948,rr1=0.173 rr0=0.168 diff=0.006
feature_070,cont,0.005931631675146073,0.18472986048777143,corr=0.0059
feature_010,cont,0.005597203675198859,0.21073340851368033,corr=0.0056
feature_028,cont,-0.005573502410554347,0.21267205992953328,corr=-0.0056
feature_085,binary,0.006426329933858194,0.21746234658697272,rr1=0.175 rr0=0.168 diff=0.006
feature_005,cat,4.292950531090976,0.23151897695571896,"{'medicaid': 0.16130875839405628, 'medicare': 0.16847672112569648, 'private': 0.17202239822428492, 'uninsured': 0.17}"
feature_026,cont,-0.005205794624641985,0.2444119148789106,corr=-0.0052
feature_045,cont,0.005053741346976264,0.25846363283975,corr=0.0051
feature_093,binary,-0.0037537387521068277,0.2682219928886605,rr1=0.167 rr0=0.171 diff=-0.004
