feature,coef,p,OR
feature_076,0.0982520260681296,0.022068033944438323,1.1032407955139951
feature_112,-0.10165673002927254,0.028087137441475542,0.9033395878066478
feature_053,-0.04623167988676517,0.05664212274672118,0.9548207238062898
feature_021,-0.05984786490566584,0.058964655410532155,0.9419078199195698
feature_100,0.15032517052898983,0.06963758328690196,1.1622120984140267
feature_074,0.07794909675133395,0.0728819366590405,1.0810676274151971
feature_032,0.0429883208290067,0.14921913859830108,1.04392570259263
feature_038,-0.035595251175606774,0.17784073709856874,0.9650308095329975
feature_117,-0.05396735093659944,0.22439465336720266,0.9474630397776796
feature_085,0.04397022067694795,0.2283062613121296,1.0449512364846587
feature_093,-0.02713544057156236,0.26051038054135633,0.9732294178487866
feature_071,0.04118087902265246,0.2628854617935412,1.0420405717803594
feature_081,-0.07040248227391167,0.26671631755313596,0.9320186234311614
feature_016,0.02677679727615543,0.288183066567119,1.027138517061071
feature_075,0.035587510064436716,0.29209319319317983,1.0362283245679105
feature_046,0.05392647851870524,0.3129326824175971,1.0554070042162385
feature_108,-0.08527750252196957,0.3361267329405323,0.9182574302890408
feature_111,0.03203452034685907,0.33756590473393977,1.0325531487827486
feature_012,-0.022372572752805946,0.36012003266783166,0.977875837280487
feature_079,0.03330144566892025,0.36457523486573884,1.0338621455387946
feature_104,0.02828141043244146,0.36678920155710837,1.0286851264197878
feature_015,-0.0242737360326582,0.3673524072285922,0.9760185017548771
feature_116,-0.11440211660557016,0.36865561309776484,0.891899236270286
feature_120,0.04988501743432203,0.3699014656895244,1.0511502254772958
feature_095,0.02120740540064693,0.38093124780032017,1.0214338805727712
feature_009,-0.061874651390644755,0.38548590689051077,0.9400007071880622
feature_068,-0.03469483509775199,0.38948042147661055,0.9659001301059031
feature_022,-0.03394175584149288,0.3971697885123291,0.9666278034209529
feature_027,-0.028735542633504956,0.3986949471991511,0.9716733966788783
feature_088,0.02148262507367656,0.41127534260597254,1.0217150379596511
feature_004,-0.04071357789943032,0.421926544242334,0.9601040855981943
feature_087,-0.023253770994076856,0.4433829042434734,0.9770145143663481
feature_083,0.020109711130583362,0.4689740102977553,1.0203132736092604
feature_030,0.020641141213284354,0.47631255179250875,1.0208556428795441
feature_017,-0.02633935103851351,0.48150551143324904,0.9740045040796742
feature_002,0.01708466569314122,0.4990521473975129,1.0172314432846747
feature_049,-0.03389498605558936,0.5089149110979854,0.9666730134535909
feature_080,0.04577121895806714,0.5097942806471085,1.0468348875824656
feature_047,0.01979398273923035,0.5102160450655436,1.019991182590023
feature_086,-0.015590391517615798,0.5194993672098669,0.9845305095226015
feature_113,-0.046168490361533726,0.5242933539143225,0.954881060380808
feature_114,0.020927215695632363,0.5292892226407413,1.0211477254058197
feature_061,-0.03472219498250548,0.5331508727885167,0.9658737035511754
feature_052,-0.10487218365766093,0.5452476536968909,0.9004396061282828
feature_069,-0.0158193914481618,0.5478433664424409,0.9843050779171966
feature_036,-0.03334147169620704,0.5540335538955843,0.9672082289584336
feature_008,0.0855744940831869,0.5846871507546513,1.0893427079078606
feature_098,0.03175392193509703,0.648914342595021,1.0322634566546167
feature_073,0.01157006141675742,0.659358305154881,1.0116372534660167
feature_058,0.03579947713926127,0.671422208904711,1.036447994135255
feature_091,-0.013180315599333242,0.6730363954828105,0.986906164398811
feature_110,0.009934626527832346,0.6854327582382616,1.0099841387559563
feature_050,-0.049830646284267276,0.693037020896867,0.9513905323799915
feature_025,0.010279961566540064,0.695285892847656,1.010332981898021
feature_041,0.021254604458821474,0.729320680347738,1.02148209242769
feature_109,-0.012065580552612217,0.7391644283582284,0.9880069166976879
feature_060,-0.038027646063255975,0.760265839738335,0.9626863260362379
feature_035,-0.01055613099069426,0.7702296091641982,0.9894993894280482
feature_029,-0.0070466964095870525,0.779624999775199,0.9929780733397732
feature_106,0.007895499698055164,0.7850850678306263,1.0079267513507895
feature_034,0.01080037853218019,0.7868944577683114,1.0108589131626529
feature_102,-0.006799903334907731,0.7956882546310768,0.9932231636936388
feature_024,0.006010760424222884,0.8116720197708308,1.0060288612931507
feature_105,-0.005586900884186255,0.8214349140062852,0.994428676822689
feature_037,0.004858334036438017,0.8409396331469076,1.0048701548766867
feature_089,0.004214144830079232,0.8637188228665236,1.0042230368247338
feature_040,0.00574307816081499,0.8644424493985794,1.0057596012501826
feature_072,-0.012065665724227938,0.8917902290380575,0.9880068325475461
feature_107,-0.004617119909337246,0.8921311579401453,0.995393522603239
feature_122,0.002031969333165993,0.9495887553797109,1.0020340351818615
feature_115,0.0009168849401048022,0.9697952055956252,1.0009173054075984
feature_001,-0.00013896755272644877,0.9970158553416926,0.9998610421028167
