treatment,feature,t_main,t_p,f_main,f_p,interaction,i_p
treatment_enzalutamide,mcrpc,2.0362330179585073,0.0,-0.14039295981175648,9.322920637545526e-06,-1.9775563779137058,0.0
treatment_enzalutamide,visceral_mets,1.0987091394971322,0.0,-0.008392555649452006,0.8329254495791059,-0.009381686747910154,0.862257088734557
treatment_enzalutamide,brca2_mutation,1.18729586916767,0.0,-0.1006388443243378,0.06456864749116592,-1.1378076135305673,3.3180135650576484e-42
treatment_enzalutamide,ar_v7_positive,1.2998494543636807,0.0,-0.02287709395323465,0.5637548840949969,-1.2371089913938842,1.3851329743772934e-93
treatment_enzalutamide,msi_high,1.128547704720269,0.0,0.1856339858502276,0.029419103825935565,-1.2826159137215356,1.7565742934425058e-19
treatment_enzalutamide,psma_high,1.0747134706367458,3.396214578557615e-220,-0.042189039783785756,0.1898578759014533,0.03702533938926356,0.3997972544707574
treatment_enzalutamide,age_years,1.1113390623907469,6.9947194894419475e-15,0.0007518043335688623,0.6344555262700788,-0.00022262989773024278,0.918309339149006
treatment_enzalutamide,ecog_ps,1.0016834292934471,8.627794533973429e-215,-0.3767022682568047,1.3979689041256452e-54,0.14141154065275788,1.5572789957501715e-05
treatment_enzalutamide,psa_ng_ml,1.36912295874022,0.0,-0.0013424052339501827,1.2304362373258465e-08,-0.008674205045951231,1.1675326113923593e-72
treatment_enzalutamide,gleason_score,1.009593820092751,7.362680383414246e-10,-0.0012530780586856483,0.9359973720287917,0.011405697192795843,0.5917394605835433
treatment_enzalutamide,albumin_g_dl,1.4086030177460374,1.9634886932233017e-17,0.14788182472042527,2.894074022123524e-06,-0.08150506670796172,0.058381360764700276
treatment_enzalutamide,ldh_u_l,1.1035043526020536,2.1274970847415673e-67,-2.449421294559711e-05,0.9007104842373315,-3.012235138192947e-05,0.9102708656977435
treatment_enzalutamide,weight_loss_pct_6mo,1.0753165460261271,8.671087173290057e-282,-0.03739524220714718,3.6358712065455044e-18,0.007020026033735503,0.2263981816156152
treatment_enzalutamide,crp_mg_l,1.0733342789221585,0.0,-0.009152691089376013,5.423913588131099e-06,0.004047804550610288,0.12716873300296197
treatment_enzalutamide,nlr,1.1210232653289733,1.910861580830719e-155,0.0009463405714681486,0.9015617497631206,-0.006943790115522966,0.5037090474832085
treatment_enzalutamide,hemoglobin_g_dl,1.009535316298228,2.97338268375552e-11,-0.007493746279944056,0.39639661072211274,0.006979423340498078,0.5617392315322401
treatment_enzalutamide,alkaline_phosphatase_u_l,1.064774066420638,6.934387023281579e-99,3.2759328279794085e-05,0.9176646327684241,0.0003059719624333965,0.48328114352498797
treatment_enzalutamide,ast_u_l,1.057568590352986,2.2071713418457004e-79,-0.002086094842681966,0.12665762270108621,0.001410470121417622,0.447134173507286
treatment_enzalutamide,alt_u_l,1.1192714610975056,3.768801919852082e-109,0.0009188926446569699,0.47713559891744284,-0.0008728381423920565,0.6209727840377812
treatment_enzalutamide,total_bilirubin_mg_dl,1.1041674448339796,3.178160022698709e-105,-0.04097768568131259,0.41584037078497826,-0.011006134986402207,0.8725552727261712
treatment_enzalutamide,creatinine_mg_dl,0.9439729660254074,1.1347104242993244e-35,-0.08469471123955606,0.11090882900046341,0.15249156137015352,0.035413970916281255
treatment_enzalutamide,bun_mg_dl,1.1382648119265402,5.014494572038249e-62,0.0019242754194497929,0.5423428158399024,-0.002767295568101633,0.5229865261302891
