model,workflow,version,replicate,masked_id,unmasked_id,unmasked_generation,masked_primary,unmasked_primary,masked_R,unmasked_R,masked_P,unmasked_P,masked_F1,unmasked_F1,masked_E,unmasked_E
astra_medium,deliberative,surprising,r001,1a87643398283251__deliberative__astra_medium__r001,997d9404f1e89442__deliberative__astra_medium__r001,original,1.0,1,0.6666666666666666,0.6666666666666666,0.9375,0.9722222222222222,77.92207792207792,79.09604519774011,64.66666666666667,64.66666666666667
astra_medium,deliberative,surprising,r002,1a87643398283251__deliberative__astra_medium__r002,997d9404f1e89442__deliberative__astra_medium__r002,replacement,1.0,1,0.6666666666666666,0.6666666666666666,1.0,1.0,80.0,80.0,64.0,65.33333333333333
astra_medium,deliberative,surprising,r003,1a87643398283251__deliberative__astra_medium__r003,997d9404f1e89442__deliberative__astra_medium__r003,original,1.0,1,0.6666666666666666,0.6666666666666666,1.0,1.0,80.0,80.0,62.666666666666664,64.66666666666667
astra_medium,deliberative,surprising,r004,1a87643398283251__deliberative__astra_medium__r004,997d9404f1e89442__deliberative__astra_medium__r004,original,1.0,1,0.6666666666666666,0.6666666666666666,1.0,0.9803921568627451,80.0,79.36507936507934,64.66666666666667,64.66666666666667
astra_medium,deliberative,surprising,r005,1a87643398283251__deliberative__astra_medium__r005,997d9404f1e89442__deliberative__astra_medium__r005,original,1.0,1,0.6666666666666666,0.6666666666666666,1.0,1.0,80.0,80.0,64.0,64.66666666666667
astra_medium,deliberative,surprising,r006,1a87643398283251__deliberative__astra_medium__r006,997d9404f1e89442__deliberative__astra_medium__r006,original,1.0,1,0.6666666666666666,0.6666666666666666,0.8113207547169812,0.9787234042553191,73.19148936170212,79.31034482758619,64.66666666666667,64.66666666666667
luna_medium,deliberative,surprising,r001,1a87643398283251__deliberative__luna_medium__r001,997d9404f1e89442__deliberative__luna_medium__r001,original,1.0,0,0.3333333333333333,0.0,0.9504950495049505,0.7142857142857143,49.35732647814909,0.0,33.333333333333336,0.0
luna_medium,deliberative,surprising,r003,1a87643398283251__deliberative__luna_medium__r003,997d9404f1e89442__deliberative__luna_medium__r003,original,1.0,0,0.6666666666666666,0.16666666666666666,1.0,0.6666666666666666,80.0,26.666666666666664,64.66666666666667,50.0
luna_medium,deliberative,surprising,r004,1a87643398283251__deliberative__luna_medium__r004,997d9404f1e89442__deliberative__luna_medium__r004,replacement,0.0,0,0.0,0.16666666666666666,0.9104477611940298,0.6774193548387096,0.0,26.751592356687894,33.333333333333336,33.333333333333336
luna_medium,deliberative,surprising,r005,1a87643398283251__deliberative__luna_medium__r005,997d9404f1e89442__deliberative__luna_medium__r005,original,0.0,0,0.3333333333333333,0.0,0.7,0.8333333333333334,45.16129032258064,0.0,50.0,0.0
luna_medium,deliberative,surprising,r006,1a87643398283251__deliberative__luna_medium__r006,997d9404f1e89442__deliberative__luna_medium__r006,replacement,1.0,0,0.6666666666666666,0.16666666666666666,1.0,0.8775510204081632,80.0,28.01302931596091,57.333333333333336,33.333333333333336
luna_medium,deliberative,surprising,r007,1a87643398283251__deliberative__luna_medium__r007,997d9404f1e89442__deliberative__luna_medium__r007,original,1.0,0,0.16666666666666666,0.0,1.0,0.5869565217391305,28.571428571428566,0.0,50.0,0.0
sol_medium,deliberative,surprising,r001,1a87643398283251__deliberative__sol_medium__r001,997d9404f1e89442__deliberative__sol_medium__r001,replacement,1.0,1,0.6666666666666666,0.6666666666666666,0.9727272727272728,0.9239130434782609,79.11275415896488,77.44874715261957,59.333333333333336,65.33333333333333
sol_medium,deliberative,surprising,r002,1a87643398283251__deliberative__sol_medium__r002,997d9404f1e89442__deliberative__sol_medium__r002,replacement,1.0,0,0.6666666666666666,0.16666666666666666,0.9629629629629629,0.9452054794520548,78.78787878787878,28.33675564681724,60.666666666666664,16.0
sol_medium,deliberative,surprising,r003,1a87643398283251__deliberative__sol_medium__r003,997d9404f1e89442__deliberative__sol_medium__r003,replacement,1.0,0,0.6666666666666666,0.3333333333333333,0.927710843373494,0.8026315789473685,77.58186397984886,47.104247104247094,62.666666666666664,65.33333333333333
