feature,mean1,mean0,diff,t_p,logit_beta_per_sd,logit_p
feature_011,3.3833668758138984,3.932695593579284,-0.5493287177653858,2.7650674791860025e-35,-0.14908894979282955,1.787815420116383e-32
feature_099,3.8209305078726175,3.798125285779607,0.022805222093010613,0.0001325682465054299,0.04548082752320464,0.00013981013094281982
feature_063,5.780190600213094,6.1492017423531395,-0.36901114214004593,0.00042181797540081784,-0.04430987429301671,0.0006882461176529586
feature_092,0.31304949455059594,0.3055947413342004,0.007454753216395549,0.0037592005521928187,0.03512889970188233,0.0031928243285728342
feature_044,27.795880194151767,28.03875652780786,-0.24287633365609196,0.07901825994215586,-0.0209339976886088,0.08224925641221127
feature_031,130.28163845152125,129.97542897023078,0.3062094812904661,0.08867030371832853,0.02035668684376996,0.08810406382400196
feature_070,104.97494376701789,104.19242413303492,0.7825196339829716,0.18387690950490782,0.015706417696120845,0.1847388201047908
feature_010,1.8119332307328044,1.8029480422592832,0.008985188473521255,0.20948742512242366,0.014936961966771429,0.2107327913735989
feature_028,0.6666508819699303,0.6713536928741607,-0.0047028109042304145,0.21141924821573577,-0.014983680583432961,0.21267772865755152
feature_059,7.527879720610867,7.4948427309700865,0.033036989640780945,0.2715705764716944,0.013159608636102622,0.27017427997752774
feature_020,5.888320113649816,5.76978750030082,0.11853261334899567,0.2928388544326058,0.01224080056324354,0.2883077278352325
feature_096,1.965624482064638,1.986197627126802,-0.02057314506216401,0.3108502340521285,-0.0120722257221716,0.31760950622171524
feature_054,1.058620812122647,1.05668254999639,0.0019382621262569177,0.3333174951772406,0.011571139647245543,0.3316623074591726
feature_062,26.041695276429504,25.9859889779318,0.0557062984977037,0.35037600731669627,0.011157568587334915,0.3497931902843878
feature_066,3.4768237243991953,3.4984824200418743,-0.02165869564267897,0.37996696188481827,-0.010461340127391744,0.3841595379200906
feature_121,107.54481472712204,107.82377638197,-0.2789616548479614,0.39213050289333434,-0.010202031702208849,0.3939276868063618
feature_048,12.974073635610276,13.003874569826486,-0.029800934216209995,0.40010813502951265,-0.010000807492628444,0.4021871016901034
feature_056,139.94625310761216,139.97468293504681,-0.028429827434649724,0.4309292734480749,-0.00945927562976129,0.42804948014357247
feature_055,224.26401089144073,223.6211532260005,0.642857665440232,0.5047517092228128,0.007928493586518797,0.505232755595653
feature_003,4.481058363916183,4.493966741270185,-0.012908377354001743,0.5460475473617904,-0.007226200899453175,0.5449371670726708
feature_103,4.198899017402629,4.202493201453565,-0.0035941840509368106,0.5439961295375011,-0.007152012202059113,0.5490276397563236
feature_019,249.43991949804663,249.91692537241596,-0.4770058743693255,0.566120746200909,-0.006851358081369812,0.5659455232981806
feature_014,12.497087723452113,12.508256924891102,-0.011169201438988807,0.6020457350592788,-0.006226551585418445,0.6018973870570195
feature_090,2.215234994672665,2.2331639111496164,-0.017928916476951606,0.6457542991034194,-0.005462765091505219,0.6511138934632477
feature_118,15.007695039659051,14.981830433422376,0.025864606236675414,0.6657902671132521,0.005188201582366321,0.6637568533014977
feature_078,65.03041316443706,64.9795080980916,0.050905066345464434,0.6689384391708386,0.005115182485021751,0.6682581877026788
feature_097,77.90446312300224,77.95432339421943,-0.049860271217184504,0.7271786155397263,-0.0041594856576623205,0.7274692504281686
feature_094,9.3982597371848,9.396190407431472,0.002069329753327409,0.7288973085879201,0.004128468907999297,0.7294112975120586
feature_101,26.121158991357877,26.246793492647942,-0.12563450129006526,0.7442732608751521,-0.0038390424281452267,0.7494475425246792
feature_023,27.3195027820528,27.407713522489356,-0.08821074043655486,0.7568519529358224,-0.0036884545524727614,0.7579394565536792
feature_077,95.98839824789866,95.98207108993334,0.0063271579653161325,0.7888182818377961,0.0031884215198046606,0.7893810506671867
feature_065,1.0034343553924467,1.002736023873126,0.0006983315193207495,0.8436819666412602,0.002344467268626426,0.8442662874243858
feature_119,1.9067905765360482,1.908547637956345,-0.001757061420296857,0.895931093300622,-0.0015704323954879174,0.8954209247097111
feature_082,79.990055641056,80.00089042909056,-0.010834788034557619,0.9274888031912217,-0.0010873287913626877,0.9274118891144644
feature_084,25.764328163845157,25.762800279161556,0.0015278846836004334,0.9916977113723188,0.0001253961724204743,0.9916167592300431
