,coef,OR,p,OR_lo,OR_hi
Intercept,-1.2167365269330865,0.29619521647241387,4.288323531772967e-71,0.2591102255610132,0.33858797379064365
"Q(""feature_051"")",-0.3814885386577558,0.6828442123244619,1.1442145148992607e-95,0.6586804922963035,0.7078943793818373
"Q(""feature_011"")",-0.15260822327392498,0.8584659829296917,1.6107838899290887e-33,0.8374456801911899,0.8800139057128958
"Q(""feature_013"")",-0.3020675856303491,0.7392880979489178,1.4297608204868713e-34,0.7044443127978656,0.775855354127553
"Q(""feature_067"")",-0.2591069563485309,0.771740476085986,4.45576042442544e-19,0.7290538834205389,0.8169263973124945
"Q(""feature_006"")",0.13029957889088803,1.1391696033772205,1.804711395702834e-06,1.0798334033821937,1.2017662920909906
"Q(""feature_099"")",0.04654139298747557,1.047641443180179,0.00011568286240082035,1.0231431061781382,1.072726373115546
"Q(""feature_063"")",-0.04602055788244557,0.955022328752137,0.0004877158225206418,0.9306382814122568,0.9800452728326189
"Q(""feature_007"")",0.08028996740162792,1.0836012311575725,0.0008960251107165139,1.0334566366344504,1.1361789034420189
"Q(""feature_039"")",0.07668116324493685,1.0796977741726497,0.0014698134508109118,1.0298653063649488,1.1319415037564857
"Q(""feature_092"")",0.03689708431531073,1.0375862314456663,0.0021603421584798616,1.0134091003914583,1.062340161806084
"Q(""feature_076"")",0.09896756836630433,1.104030493465707,0.021180427074726855,1.014915593848223,1.2009701475573271
"Q(""feature_112"")",-0.10047137610809992,0.9044109998049613,0.030066637982648067,0.825925223085419,0.9903550995967279
"Q(""feature_078"")",0.0033176117833538235,1.0033231211482863,0.7831402779009872,0.9798970138074232,1.0273092694908186
"Q(""feature_014"")",-0.008463713696398723,0.9915720026929075,0.4820728297093859,0.9684470524421279,1.0152491393773724
"Q(""feature_055"")",0.00657547944496176,1.006597145371847,0.5840446292784274,0.9831787935451758,1.030573299305193
"Q(""feature_065"")",0.0014552865443696866,1.0014563459877017,0.9038548490402574,0.9780858055443263,1.0253853059046236
"Q(""feature_123_black"")",0.006083722133670767,1.0061022655564422,0.9181984002908808,0.8958194204116615,1.129961849110889
"Q(""feature_123_hispanic"")",-0.03886798220935885,0.9618776857315355,0.4997708416510226,0.859201304013841,1.0768241132619956
"Q(""feature_123_other"")",0.05118553796624819,1.0525181572465392,0.5898440338802012,0.8737868225597208,1.267808626466138
"Q(""feature_123_white"")",-0.07527956231620979,0.9274841604612254,0.137805026821872,0.8397067216269731,1.0244372776244213
"Q(""feature_043_squamous"")",0.039340968427419624,1.0401250730052973,0.15864438828075655,0.9847588246465391,1.098604186545461
"Q(""feature_057_former"")",0.01280035297867644,1.0128826281725902,0.6513329174635069,0.9581839712692225,1.0707037992869493
"Q(""feature_057_never"")",0.013725572833140543,1.0138202009540107,0.7398123759371511,0.9349347057583536,1.0993616918186024
"Q(""feature_005_medicare"")",0.06311448589904001,1.0651487767664276,0.09387211917334574,0.9893337258264443,1.1467737195548169
"Q(""feature_005_private"")",0.08915839834277309,1.0932538122042497,0.018668017145838448,1.014975112446193,1.177569659829946
"Q(""feature_005_uninsured"")",0.08194025144741979,1.0853909573534621,0.2314623127119776,0.9490694971656989,1.2412932180655512
